"V1" "V2" "V3" "V4"
"1" 0.291666666666667 0.875 0.125 0.458333333333333
"2" 0.375 0.0416666666666667 0.708333333333333 0.791666666666667
"3" 0.208333333333333 0.791666666666667 0.125 0.958333333333333
"4" 0.791666666666667 0.791666666666667 0.958333333333333 0.458333333333333
"5" 0.791666666666667 0.958333333333333 0.375 0.875
"6" 0.625 0.958333333333333 0.875 0.958333333333333
"7" 0.708333333333333 0.708333333333333 0.208333333333333 0.208333333333333
"8" 0.625 0.458333333333333 0.458333333333333 0.0416666666666667
"9" 0.875 0.291666666666667 0.0416666666666667 0.791666666666667
"10" 0.125 0.625 0.791666666666667 0.0416666666666667
"11" 0.208333333333333 0.875 0.625 0.375
"12" 0.375 0.125 0.208333333333333 0.708333333333333
"13" 0.708333333333333 0.708333333333333 0.708333333333333 0.291666666666667
"14" 0.291666666666667 0.541666666666667 0.625 0.875
"15" 0.541666666666667 0.458333333333333 0.875 0.625
"16" 0.958333333333333 0.541666666666667 0.291666666666667 0.708333333333333
"17" 0.875 0.0416666666666667 0.541666666666667 0.625
"18" 0.125 0.375 0.291666666666667 0.208333333333333
"19" 0.458333333333333 0.291666666666667 0.958333333333333 0.125
"20" 0.0416666666666667 0.375 0.791666666666667 0.541666666666667
"21" 0.458333333333333 0.625 0.375 0.541666666666667
"22" 0.958333333333333 0.208333333333333 0.0416666666666667 0.291666666666667
"23" 0.541666666666667 0.208333333333333 0.458333333333333 0.375
"24" 0.0416666666666667 0.125 0.541666666666667 0.125
