"V1" "V2" "V3" "V4"
"1" 0.541666666666667 0.708333333333333 0.375 0.291666666666667
"2" 0.125 0.875 0.625 0.458333333333333
"3" 0.208333333333333 0.208333333333333 0.958333333333333 0.625
"4" 0.458333333333333 0.708333333333333 0.125 0.208333333333333
"5" 0.875 0.958333333333333 0.375 0.0416666666666667
"6" 0.958333333333333 0.958333333333333 0.625 0.708333333333333
"7" 0.291666666666667 0.791666666666667 0.0416666666666667 0.375
"8" 0.375 0.791666666666667 0.458333333333333 0.125
"9" 0.791666666666667 0.125 0.958333333333333 0.875
"10" 0.708333333333333 0.375 0.125 0.541666666666667
"11" 0.625 0.291666666666667 0.708333333333333 0.708333333333333
"12" 0.875 0.458333333333333 0.708333333333333 0.958333333333333
"13" 0.0416666666666667 0.541666666666667 0.291666666666667 0.458333333333333
"14" 0.458333333333333 0.0416666666666667 0.208333333333333 0.625
"15" 0.958333333333333 0.125 0.875 0.208333333333333
"16" 0.125 0.208333333333333 0.791666666666667 0.875
"17" 0.625 0.0416666666666667 0.541666666666667 0.541666666666667
"18" 0.541666666666667 0.541666666666667 0.208333333333333 0.125
"19" 0.375 0.625 0.0416666666666667 0.0416666666666667
"20" 0.708333333333333 0.291666666666667 0.541666666666667 0.791666666666667
"21" 0.0416666666666667 0.458333333333333 0.791666666666667 0.375
"22" 0.291666666666667 0.875 0.458333333333333 0.291666666666667
"23" 0.208333333333333 0.625 0.875 0.958333333333333
"24" 0.791666666666667 0.375 0.291666666666667 0.791666666666667
