"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 0.765625 0.359375 0.921875 0.453125 0.640625 0.140625 0.390625 0.171875
"2" 0.859375 0.453125 0.859375 0.046875 0.234375 0.078125 0.953125 0.953125
"3" 0.828125 0.046875 0.109375 0.703125 0.703125 0.328125 0.703125 0.609375
"4" 0.796875 0.171875 0.578125 0.234375 0.421875 0.890625 0.546875 0.734375
"5" 0.234375 0.140625 0.046875 0.609375 0.171875 0.953125 0.359375 0.203125
"6" 0.671875 0.921875 0.609375 0.671875 0.734375 0.296875 0.859375 0.546875
"7" 0.734375 0.703125 0.359375 0.921875 0.609375 0.921875 0.328125 0.453125
"8" 0.265625 0.515625 0.234375 0.546875 0.921875 0.828125 0.921875 0.796875
"9" 0.984375 0.984375 0.015625 0.984375 0.984375 0.015625 0.015625 0.046875
"10" 0.484375 0.671875 0.671875 0.140625 0.328125 0.453125 0.171875 0.078125
"11" 0.359375 0.484375 0.203125 0.796875 0.390625 0.109375 0.265625 0.390625
"12" 0.921875 0.546875 0.734375 0.578125 0.796875 0.421875 0.140625 0.828125
"13" 0.609375 0.265625 0.296875 0.296875 0.359375 0.265625 0.984375 0.140625
"14" 0.578125 0.734375 0.078125 0.484375 0.265625 0.484375 0.453125 0.859375
"15" 0.296875 0.609375 0.390625 0.171875 0.078125 0.765625 0.796875 0.578125
"16" 0.953125 0.828125 0.171875 0.078125 0.546875 0.640625 0.609375 0.328125
"17" 0.078125 0.390625 0.328125 0.109375 0.578125 0.359375 0.234375 0.921875
"18" 0.890625 0.578125 0.515625 0.859375 0.140625 0.546875 0.640625 0.234375
"19" 0.421875 0.640625 0.484375 0.265625 0.890625 0.046875 0.515625 0.671875
"20" 0.453125 0.421875 0.796875 0.734375 0.484375 0.796875 0.828125 0.015625
"21" 0.546875 0.296875 0.265625 0.390625 0.859375 0.734375 0.078125 0.265625
"22" 0.015625 0.859375 0.140625 0.421875 0.671875 0.578125 0.671875 0.109375
"23" 0.140625 0.203125 0.640625 0.953125 0.828125 0.390625 0.484375 0.296875
"24" 0.109375 0.890625 0.546875 0.765625 0.453125 0.671875 0.109375 0.703125
"25" 0.515625 0.328125 0.765625 0.828125 0.515625 0.609375 0.765625 0.984375
"26" 0.640625 0.953125 0.984375 0.359375 0.015625 0.859375 0.296875 0.890625
"27" 0.171875 0.078125 0.703125 0.015625 0.765625 0.515625 0.734375 0.359375
"28" 0.203125 0.796875 0.828125 0.515625 0.203125 0.234375 0.578125 0.421875
"29" 0.703125 0.234375 0.421875 0.328125 0.109375 0.203125 0.046875 0.515625
"30" 0.328125 0.015625 0.953125 0.640625 0.296875 0.703125 0.203125 0.640625
"31" 0.390625 0.765625 0.890625 0.203125 0.953125 0.984375 0.421875 0.484375
"32" 0.046875 0.109375 0.453125 0.890625 0.046875 0.171875 0.890625 0.765625
