"V1" "V2" "V3" "V4"
"1" 0.791666666666667 0.958333333333333 0.541666666666667 0.458333333333333
"2" 0.625 0.125 0.875 0.958333333333333
"3" 0.375 0.541666666666667 0.208333333333333 0.958333333333333
"4" 0.125 0.458333333333333 0.958333333333333 0.291666666666667
"5" 0.0416666666666667 0.791666666666667 0.458333333333333 0.708333333333333
"6" 0.541666666666667 0.875 0.958333333333333 0.791666666666667
"7" 0.875 0.625 0.125 0.0416666666666667
"8" 0.458333333333333 0.541666666666667 0.375 0.208333333333333
"9" 0.708333333333333 0.208333333333333 0.125 0.791666666666667
"10" 0.125 0.291666666666667 0.0416666666666667 0.125
"11" 0.208333333333333 0.958333333333333 0.208333333333333 0.375
"12" 0.291666666666667 0.0416666666666667 0.291666666666667 0.458333333333333
"13" 0.541666666666667 0.708333333333333 0.0416666666666667 0.625
"14" 0.875 0.458333333333333 0.708333333333333 0.708333333333333
"15" 0.375 0.625 0.791666666666667 0.541666666666667
"16" 0.958333333333333 0.791666666666667 0.375 0.875
"17" 0.208333333333333 0.375 0.541666666666667 0.875
"18" 0.291666666666667 0.875 0.625 0.125
"19" 0.708333333333333 0.708333333333333 0.875 0.208333333333333
"20" 0.0416666666666667 0.208333333333333 0.708333333333333 0.625
"21" 0.625 0.375 0.291666666666667 0.375
"22" 0.958333333333333 0.291666666666667 0.625 0.291666666666667
"23" 0.458333333333333 0.125 0.791666666666667 0.0416666666666667
"24" 0.791666666666667 0.0416666666666667 0.458333333333333 0.541666666666667
